code,x,y
E07000202,1.1593,52.0552
E07000203,1.0926,52.2468
E07000207,-0.3920,51.3572
E07000208,-0.2616,51.3394
E07000209,-0.5622,51.2480
E07000210,-0.3256,51.2122
E07000211,-0.1918,51.2533
E07000212,-0.5408,51.3933
E07000213,-0.4675,51.4244
E07000214,-0.6712,51.3433
E07000215,-0.0435,51.2270
E07000216,-0.6335,51.1501
E07000217,-0.5605,51.3145
E07000218,-1.6276,52.5471
E07000219,-1.4755,52.5011
E07000220,-1.3282,52.3845
E07000221,-1.6226,52.1786
E07000222,-1.5832,52.3102
E07000223,-0.2990,50.8438
E07000224,-0.5680,50.8406
E07000225,-0.7425,50.9373
E07000226,-0.1821,51.1256
E07000227,-0.3670,50.9934
E07000228,-0.1274,51.0205
E07000229,-0.3963,50.8287
E07000234,-2.0167,52.3622
E07000235,-2.3462,52.1831
E07000236,-1.9512,52.2823
E07000237,-2.2109,52.1963
E07000238,-2.0512,52.1650
E07000239,-2.2756,52.3796
E07000240,-0.3428,51.7724
E07000241,-0.1944,51.7677
E07000242,-0.0087,51.8650
E07000243,-0.1908,51.9053
E07000244,1.4622,52.2372
E07000245,0.6219,52.2778
E07000246,-3.3628,51.0868
E08000001,-2.4669,53.5786
E08000002,-2.3122,53.5876
E08000003,-2.2326,53.4509
E08000004,-2.0517,53.5520
E08000005,-2.1580,53.6164
E08000006,-2.3706,53.4896
E08000007,-2.1281,53.3938
E08000008,-2.0626,53.4778
E08000009,-2.3546,53.4194
E08000010,-2.5893,53.5244
E08000011,-2.8338,53.4258
E08000012,-2.9168,53.3956
E08000013,-2.7226,53.4595
E08000014,-3.0154,53.5660
E08000015,-3.0925,53.3683
E08000016,-1.5324,53.5359
E08000017,-1.0953,53.5444
E08000018,-1.2862,53.4090
E08000019,-1.5502,53.4042
E08000021,-1.6578,55.0078
E08000022,-1.5176,55.0281
E08000023,-1.4437,54.9635
E08000024,-1.4522,54.8805
E08000025,-1.8744,52.4885
E08000026,-1.5202,52.4174
E08000027,-2.1081,52.4831
E08000028,-2.0085,52.5158
E08000029,-1.7278,52.4128
E08000030,-1.9665,52.5992
E08000031,-2.1206,52.5890
E08000032,-1.8548,53.8448
E08000033,-1.9738,53.7212
E08000034,-1.7633,53.6274
E08000035,-1.5059,53.8256
E08000036,-1.4115,53.6607
E08000037,-1.6837,54.9354
E09000001,-0.0914,51.5139
E09000002,0.1337,51.5438
E09000003,-0.2091,51.6160
E09000004,0.1428,51.4609
E09000005,-0.2676,51.5594
E09000006,0.0511,51.3721
E09000007,-0.1565,51.5456
E09000008,-0.0870,51.3554
E09000009,-0.3303,51.5223
E09000010,-0.0874,51.6511
E09000011,0.0555,51.4743
E09000012,-0.0637,51.5522
E09000013,-0.2220,51.4956
E09000014,-0.1071,51.5901
E09000015,-0.3424,51.5982
E09000016,0.2208,51.5631
E09000017,-0.4455,51.5409
E09000018,-0.3660,51.4686
E09000019,-0.1100,51.5487
E09000020,-0.1919,51.5006
E09000021,-0.2865,51.3869
E09000022,-0.1188,51.4543
E09000023,-0.0201,51.4487
E09000024,-0.1957,51.4103
E09000025,0.0379,51.5269
E09000026,0.0759,51.5851
E09000027,-0.3126,51.4426
E09000028,-0.0745,51.4738
E09000029,-0.1777,51.3620
E09000030,-0.0342,51.5160
E09000031,-0.0131,51.5938
E09000032,-0.1872,51.4523
E09000033,-0.1605,51.5135
W06000001,-4.3747,53.2862
W06000002,-4.0249,52.8950
W06000003,-3.7358,53.1408
W06000004,-3.3544,53.0917
W06000005,-3.1636,53.2183
W06000006,-3.0174,52.9903
W06000008,-4.0725,52.2560
W06000009,-4.8862,51.8537
W06000010,-4.1632,51.8992
W06000011,-4.0614,51.6414
W06000012,-3.7434,51.6800
W06000013,-3.6003,51.5560
W06000014,-3.3999,51.4449
W06000015,-3.2006,51.5087
W06000016,-3.4362,51.6511
W06000018,-3.2048,51.6531
W06000019,-3.1940,51.7664
W06000020,-3.0534,51.6991
W06000021,-2.8675,51.7579
W06000022,-2.9617,51.5738
W06000023,-3.4099,52.3256
W06000024,-3.3607,51.7401
